url_name,id,item_name,thumb,vaulted
arcane_rise,63886516e7c988007b5bd50b,Arcane Rise,items/images/en/thumbs/arcane_rise.dd639f42f0235bd00abea150d1666f89.128x128.png,False
arcane_scorpion_ash_helmet,54aaf259e7798948f1b718c7,Arcane Scorpion Helmet,items/images/en/thumbs/arcane_scorpion_ash_helmet.0a0e5b3e904af873aaefa4b876a343b9.128x128.png,False
arcane_squall_frost_helmet,54aaf196e77989526dcfba2d,Arcane Squall Helmet,items/images/en/thumbs/arcane_squall_frost_helmet.c74f74a1c9f245336a25cf9786dbf44e.128x128.png,False
arcane_steadfast,63ee00fd10125411da49e6ea,Arcane Steadfast,items/images/en/thumbs/arcane_steadfast.ccf77e85d0ff32f127e1a71d38ea8c0e.128x128.png,False
arcane_storm_volt_helmet,54aaf21ee7798925c9182cee,Arcane Storm Helmet,items/images/en/thumbs/arcane_storm_volt_helmet.08c146490c95048b62f0f9575b1b2d19.128x128.png,False
arcane_strike,551085e4e7798972c7353fb0,Arcane Strike,items/images/en/thumbs/arcane_strike.27c40994b55f506fe736175c9cebbf0e.128x128.png,False
arcane_swindle_loki_helmet,54aaf130e7798916d6f20025,Arcane Swindle Helmet,items/images/en/thumbs/arcane_swindle_loki_helmet.d1ff45b29b64a4e9bc064a251146a5cc.128x128.png,False
arcane_tanker,5d8765df7ea27b08950c13ca,Arcane Tanker,items/images/en/thumbs/arcane_tanker.bedeb0f2ceb9e91f99f682b990c09648.128x128.png,False
arcane_tempo,5667519a5dcbc186f0536bd4,Arcane Tempo,items/images/en/thumbs/arcane_tempo.8e5a0c4378df14ffdb5597ff8da8b828.128x128.png,False
arcane_thrak_rhino_helmet,54aaf153e779892a1bb42966,Arcane Thrak Helmet,items/images/en/thumbs/arcane_thrak_rhino_helmet.b4ecbae748043d7c5b1105e6d7184115.128x128.png,False
arcane_trickery,551085ece7798972cb579c3e,Arcane Trickery,items/images/en/thumbs/arcane_trickery.bec8b43aaa7a5ec1cb152f017516a69c.128x128.png,False
arcane_ultimatum,566751b75dcbc186f0536bd5,Arcane Ultimatum,items/images/en/thumbs/arcane_ultimatum.6f19f5350ebf251e2c2375bbd667f537.128x128.png,False
arcane_vanguard_rhino_helmet,54aaefabe779892ce54c8980,Arcane Vanguard Helmet,items/images/en/thumbs/arcane_vanguard_rhino_helmet.fca8955cebd179b29aa59a74400340b9.128x128.png,False
arcane_velocity,566751d35dcbc186f0536bd6,Arcane Velocity,items/images/en/thumbs/arcane_velocity.ea37edd24f8212ce4bb283205658829b.128x128.png,False
arcane_vespa_nyx_helmet,54aaf28ee7798969777a27a9,Arcane Vespa Helmet,items/images/en/thumbs/arcane_vespa_nyx_helmet.a37db070518d6e37e74bf59692dff155.128x128.png,False
arcane_victory,55a46ad5e77989029d9706ee,Arcane Victory,items/images/en/thumbs/arcane_victory.2e3e7da2e7600a0e376eae98c3fd80a9.128x128.png,False
arcane_warmth,551085f4e7798972d0eaf1ad,Arcane Warmth,items/images/en/thumbs/arcane_warmth.2cc54a97fdce903163669b1e57e998ad.128x128.png,False
arch_gun_riven_mod_(veiled),5cc4816afc2db2099c1804cd,Archgun Riven Mod (Veiled),items/images/en/thumbs/arch_gun_riven_mod_(veiled).fd671126fd4051e8e3addc13ae56d1f0.128x128.png,False
archgun_ace,5c1bda0a14a8e4006b1dad67,Archgun Ace,items/images/en/thumbs/archgun_ace.b18c4e461e441c105586d717be639ec8.128x128.png,False
archon_continuity,63229385dd457f0096113c3f,Archon Continuity,items/images/en/thumbs/archon_continuity.87c2dd792556d1699f6954461197d83e.128x128.png,False
archon_flow,63229386dd457f0096113c42,Archon Flow,items/images/en/thumbs/archon_flow.9f720d15c3cf1d9fbd3506e7bee5bd67.128x128.png,False
archon_intensify,6322918add457f0072aeb8b1,Archon Intensify,items/images/en/thumbs/archon_intensify.4fac0586cea5af02d26b98eb29c2488c.128x128.png,False
archon_stretch,63229386dd457f0096113c45,Archon Stretch,items/images/en/thumbs/archon_stretch.48c4b9cd7bc02dbe17433b176db0e5b2.128x128.png,False
archon_vitality,63229386dd457f0096113c43,Archon Vitality,items/images/en/thumbs/archon_vitality.e2a0584c833528c8a69bf80f6ee5ec0f.128x128.png,False
argent_scourge,5800c901c021d9dc0a9f891c,Argent Scourge,items/images/en/thumbs/argent_scourge.8a20a60d9783334c31cfe5eb983f61cd.128x128.png,False
argon_plating,54a74455e779892d5e5156cd,Argon Plating,items/images/en/thumbs/argon_plating.fa183b27e0d58aba993369ad910ab455.128x128.png,False
argon_scope,56a7b2741133f656cb085d8a,Argon Scope,items/images/en/thumbs/argon_scope.f59f66183ee3f605c51f28d68dfa6714.128x128.png,False
armored_acrobatics,568c17a0c221c673bc088846,Armored Acrobatics,items/images/en/thumbs/armored_acrobatics.b11d5151eae71051909a66fe4d53eb90.128x128.png,False
armored_agility,55a4692be77989021897043b,Armored Agility,items/images/en/thumbs/armored_agility.b46198fa88f4d84f221271d6cb00b9b9.128x128.png,False
armored_evade,568c177fc221c673bc088845,Armored Evade,items/images/en/thumbs/armored_evade.726f03c9e8f010cb3074d216fc1a68f2.128x128.png,False
armored_recovery,5754a31be701ef5844257dab,Armored Recovery,items/images/en/thumbs/armored_recovery.ca5e0f617d60d6227b4499bfcffb898b.128x128.png,False
arrow_mutation,54a74454e779892d5e515636,Arrow Mutation,items/images/en/thumbs/arrow_mutation.692f3be146e439183462b742166788e3.128x128.png,False
artillery_cheap_shot,5eadc6bf04d55c027d23a6de,Artillery Cheap Shot,items/images/en/thumbs/artillery_cheap_shot.f3bd4337b0f4d80f588fde1912aa9360.128x128.png,False
